gene_id,module
evm.TU.Chr04.2017,brown
evm.TU.Chr01.2811,yellow
evm.TU.Chr01.1056,brown
evm.TU.Chr01.562,yellow
evm.TU.Chr07.1430,turquoise
evm.TU.ctg2.336,brown
evm.TU.Chr01.1789,blue
evm.TU.Chr09.276,brown
evm.TU.ctg2.180,brown
evm.TU.Chr01.133,yellow
evm.TU.Chr03.3407,grey
evm.TU.Chr01.2233,blue
evm.TU.Chr08.2949,turquoise
evm.TU.ctg1.441,turquoise
evm.TU.Chr09.888,blue
evm.TU.Chr04.375,grey
evm.TU.Chr06.2845,red
evm.TU.Chr05.661,green
evm.TU.Chr01.1671,grey
evm.TU.Chr02.1360,blue
evm.TU.Chr01.2911,green
evm.TU.Chr01.1812,red
evm.TU.Chr09.1667,red
evm.TU.Chr10.1682,grey
evm.TU.Chr01.2053,red
evm.TU.Chr03.1830,green
evm.TU.Chr07.2584,grey
evm.TU.Chr03.952,grey
evm.TU.ctg1.59,brown
evm.TU.ctg1.463,turquoise
evm.TU.Chr02.1412,grey
evm.TU.Chr01.938,grey
evm.TU.Chr06.1839,turquoise
evm.TU.Chr09.871,red
evm.TU.Chr02.2601,brown
evm.TU.Chr05.1073,grey
evm.TU.Chr07.1534,grey
evm.TU.Chr03.2653,grey
evm.TU.Chr09.1056,blue
evm.TU.Chr03.271,grey
evm.TU.ctg277.123,turquoise
evm.TU.Chr01.1538,turquoise
evm.TU.Chr05.2139,yellow
evm.TU.Chr10.134,red
evm.TU.Chr09.36,blue
evm.TU.Chr01.458,green
evm.TU.Chr04.187,grey
evm.TU.Chr06.2524,red
evm.TU.Chr01.619,grey
evm.TU.Chr03.1440,brown
evm.TU.Chr01.697,yellow
evm.TU.Chr01.1801,black
evm.TU.ctg277.39,grey
evm.TU.Chr05.1299,turquoise
evm.TU.Chr05.1946,black
evm.TU.Chr01.3154,red
evm.TU.ctg2.338,brown
evm.TU.ctg279.197,yellow
evm.TU.Chr05.2318,grey
evm.TU.Chr01.2807,yellow
evm.TU.Chr01.1449,turquoise
evm.TU.Chr08.20,blue
evm.TU.Chr09.1936,turquoise
evm.TU.ctg274.51,red
evm.TU.ctg2.179,brown
evm.TU.Chr05.1232,yellow
evm.TU.Chr02.1964,blue
evm.TU.Chr04.2015,brown
evm.TU.ctg2.306,grey
evm.TU.Chr01.2813,yellow
evm.TU.Chr01.621,grey
evm.TU.Chr08.340,turquoise
evm.TU.Chr04.454,grey
evm.TU.Chr06.1857,blue
evm.TU.Chr10.1152,yellow
evm.TU.Chr03.1539,brown
evm.TU.Chr08.2653,yellow
evm.TU.Chr01.1602,black
evm.TU.Chr01.344,green
evm.TU.Chr02.1356,grey
evm.TU.Chr09.573,turquoise
evm.TU.Chr03.538,turquoise
evm.TU.Chr08.1049,blue
evm.TU.Chr05.423,blue
evm.TU.Chr03.447,blue
evm.TU.Chr04.2298,grey
evm.TU.Chr05.1237,blue
evm.TU.Chr01.1480,yellow
evm.TU.Chr08.1159,blue
evm.TU.Chr01.1223,grey
evm.TU.Chr07.53,grey
evm.TU.Chr07.2220,yellow
evm.TU.Chr03.374,black
evm.TU.Chr03.3259,grey
evm.TU.Chr05.320,red
evm.TU.Chr09.1120,brown
evm.TU.Chr02.1855,grey
evm.TU.Chr06.1153,yellow
evm.TU.Chr01.3148,grey
evm.TU.Chr01.2281,yellow
evm.TU.Chr09.135,grey
evm.TU.Chr02.277,blue
evm.TU.Chr07.1627,grey
evm.TU.ctg1.380,red
evm.TU.Chr09.1030_evm.TU.Chr09.1031,turquoise
evm.TU.Chr06.1028,blue
evm.TU.Chr10.502,grey
evm.TU.Chr01.2038,grey
evm.TU.ctg279.74,red
evm.TU.Chr01.1603,black
evm.TU.Chr01.2810,yellow
evm.TU.Chr10.640,grey
evm.TU.Chr04.2299,grey
evm.TU.Chr06.2495,green
evm.TU.Chr03.1613,red
evm.TU.Chr05.2474,grey
evm.TU.Chr02.1745,turquoise
evm.TU.Chr04.1695,yellow
evm.TU.Chr03.362,brown
evm.TU.Chr06.10,red
evm.TU.Chr09.739,grey
evm.TU.Chr01.2684,green
evm.TU.Chr01.3177,grey
evm.TU.Chr07.1189,grey
evm.TU.ctg2.327,grey
evm.TU.Chr03.1323,black
evm.TU.Chr10.352,red
evm.TU.ctg279.251,turquoise
evm.TU.Chr02.372,turquoise
evm.TU.Chr10.1477,turquoise
evm.TU.Chr03.2839,grey
evm.TU.ctg279.97,yellow
evm.TU.Chr10.919,yellow
evm.TU.Chr06.859,grey
evm.TU.ctg4.12,yellow
evm.TU.Chr10.386,yellow
evm.TU.Chr07.933,brown
evm.TU.Chr01.1908_evm.TU.Chr01.1910,green
evm.TU.Chr03.435,turquoise
evm.TU.Chr09.1251,red
evm.TU.Chr06.1746,red
evm.TU.ctg279.199,red
evm.TU.Chr02.933,turquoise
evm.TU.Chr04.374,turquoise
evm.TU.Chr10.160,brown
evm.TU.Chr04.1811,brown
evm.TU.Chr09.1536,grey
evm.TU.Chr02.992,grey
evm.TU.Chr07.498,grey
evm.TU.Chr06.2715,blue
evm.TU.Chr09.2446,yellow
evm.TU.Chr02.1797,red
evm.TU.Chr02.750,black
evm.TU.Chr01.1120,brown
evm.TU.Chr01.3178,brown
evm.TU.Chr09.1003,grey
evm.TU.Chr01.3155,grey
evm.TU.Chr05.800,turquoise
evm.TU.Chr01.616,blue
evm.TU.Chr06.3190,blue
evm.TU.Chr03.2931,brown
evm.TU.Chr01.1192,grey
evm.TU.Chr02.1646,grey
evm.TU.ctg2.224,grey
evm.TU.Chr10.1073,brown
evm.TU.Chr05.1939,brown
evm.TU.Chr01.3013,turquoise
evm.TU.ctg274.41,grey
evm.TU.Chr04.2929,yellow
evm.TU.Chr10.966,blue
evm.TU.Chr02.1363,red
evm.TU.Chr01.924,blue
evm.TU.Chr06.1103,green
evm.TU.ctg284.7,blue
evm.TU.Chr07.951,turquoise
evm.TU.Chr03.272,grey
evm.TU.Chr01.1022,grey
evm.TU.Chr02.391,grey
evm.TU.Chr06.2496,turquoise
evm.TU.Chr08.766,green
evm.TU.Chr05.2945,grey
evm.TU.Chr01.290,grey
evm.TU.Chr06.1822,blue
evm.TU.ctg274.43,brown
evm.TU.Chr07.985,turquoise
evm.TU.Chr01.2687,green
evm.TU.Chr07.2218,red
evm.TU.Chr08.468,turquoise
evm.TU.Chr01.16,turquoise
evm.TU.Chr10.1365,turquoise
evm.TU.Chr01.440,green
evm.TU.Chr02.219,grey
evm.TU.Chr03.295,turquoise
evm.TU.Chr07.470,yellow
evm.TU.ctg1.374,blue
evm.TU.Chr07.2219,yellow
evm.TU.Chr06.2531,yellow
evm.TU.Chr10.373,green
evm.TU.Chr07.94,grey
evm.TU.Chr02.1861,turquoise
evm.TU.Chr07.606,blue
evm.TU.Chr05.2543,brown
evm.TU.Chr10.834,brown
evm.TU.Chr02.843,red
evm.TU.Chr06.1838,turquoise
evm.TU.Chr08.672,red
evm.TU.ctg274.56,blue
evm.TU.Chr01.331,turquoise
evm.TU.Chr06.1009,grey
evm.TU.Chr08.1161,blue
evm.TU.Chr02.1413,grey
evm.TU.Chr08.2438,turquoise
evm.TU.Chr04.2016,brown
evm.TU.Chr01.1934,grey
evm.TU.Chr01.2203,grey
evm.TU.Chr06.1027,grey
evm.TU.Chr10.176,green
evm.TU.Chr07.1188,grey
evm.TU.Chr01.1816,red
evm.TU.Chr07.2207,black
evm.TU.Chr05.2338,grey
evm.TU.ctg1.208,turquoise
evm.TU.ctg274.50,red
evm.TU.Chr09.117,grey
evm.TU.Chr01.564,red
evm.TU.Chr09.875,brown
evm.TU.Chr04.1070,turquoise
evm.TU.Chr09.2202,grey
evm.TU.Chr04.3327,blue
evm.TU.Chr09.258,red
evm.TU.ctg281.66,yellow
evm.TU.Chr06.1045,turquoise
evm.TU.Chr02.1980,turquoise
evm.TU.Chr03.352,turquoise
evm.TU.Chr08.3142,blue
evm.TU.ctg281.27,grey
evm.TU.Chr06.1134,blue
evm.TU.ctg2.188,grey
evm.TU.Chr10.861,green
evm.TU.Chr05.261,blue
evm.TU.Chr09.144,yellow
evm.TU.Chr06.9,blue
evm.TU.Chr03.1725,turquoise
evm.TU.ctg1.10,turquoise
evm.TU.ctg2.337,brown
evm.TU.Chr08.1994,grey
evm.TU.Chr08.3054,green
evm.TU.Chr05.1732,green
evm.TU.ctg2.339,brown
evm.TU.Chr01.1879,blue
evm.TU.ctg279.73,red
evm.TU.Chr09.1166,turquoise
evm.TU.Chr03.349,grey
evm.TU.Chr05.872,turquoise
evm.TU.ctg277.48,grey
evm.TU.Chr03.3386,green
evm.TU.Chr05.2138,yellow
evm.TU.Chr04.3262,grey
evm.TU.Chr08.1489,turquoise
evm.TU.Chr01.914,brown
evm.TU.Chr05.657,green
evm.TU.Chr05.3075,red
evm.TU.Chr06.2735,yellow
evm.TU.Chr01.1210,green
evm.TU.ctg2.236,blue
evm.TU.Chr07.1536,green
evm.TU.Chr05.2573,turquoise
evm.TU.Chr08.1112,grey
evm.TU.Chr05.2406,grey
evm.TU.Chr10.489,blue
evm.TU.Chr02.776,brown
evm.TU.Chr01.2031,blue
evm.TU.Chr01.332_evm.TU.Chr01.330,turquoise
evm.TU.Chr10.1318,turquoise
evm.TU.Chr10.1194,turquoise
evm.TU.Chr08.86,turquoise
evm.TU.Chr05.567,grey
evm.TU.Chr03.938,grey
evm.TU.Chr01.3135,grey
evm.TU.Chr06.635,turquoise
evm.TU.Chr06.1112,red
evm.TU.Chr01.1235,grey
evm.TU.Chr09.626,red
evm.TU.Chr09.145,yellow
evm.TU.Chr03.263,yellow
evm.TU.Chr08.188,blue
evm.TU.Chr01.1943,grey
evm.TU.Chr10.1747,yellow
evm.TU.Chr04.1489,grey
evm.TU.Chr07.1573,grey
evm.TU.Chr07.220,blue
evm.TU.Chr09.1303,grey
evm.TU.Chr02.1444,blue
evm.TU.Chr03.2469,brown
evm.TU.Chr01.414,turquoise
evm.TU.Chr09.1421,red
evm.TU.Chr03.869,green
evm.TU.Chr03.2930,brown
evm.TU.Chr03.949,red
evm.TU.Chr01.2381,green
evm.TU.Chr08.1528,turquoise
evm.TU.Chr01.1115,green
evm.TU.Chr03.634,turquoise
evm.TU.Chr02.1835,black
evm.TU.Chr05.1320,green
evm.TU.Chr01.1121,brown
evm.TU.ctg277.129,turquoise
evm.TU.Chr01.1392,blue
evm.TU.Chr07.2115,brown
evm.TU.ctg2.192,yellow
evm.TU.ctg3.82,green
evm.TU.Chr10.1195,yellow
evm.TU.Chr02.392,blue
evm.TU.Chr09.1402,green
evm.TU.Chr09.1774,turquoise
evm.TU.Chr09.353,brown
evm.TU.Chr03.1953,grey
evm.TU.ctg2.182,turquoise
evm.TU.Chr01.1431,red
evm.TU.Chr09.988,grey
evm.TU.Chr02.1349,brown
evm.TU.ctg1.382,brown
evm.TU.Chr03.266,blue
evm.TU.Chr10.1471,grey
evm.TU.Chr09.101,turquoise
evm.TU.Chr08.1650,grey
evm.TU.Chr07.2206,black
evm.TU.Chr04.2906,brown
evm.TU.Chr04.379,turquoise
evm.TU.Chr05.2317,grey
evm.TU.Chr03.3543,green
evm.TU.Chr09.1594,green
evm.TU.ctg3.185,blue
evm.TU.Chr05.303,yellow
evm.TU.Chr04.764,grey
evm.TU.Chr03.359,turquoise
evm.TU.Chr05.2421,blue
evm.TU.Chr03.458,grey
evm.TU.Chr02.928,grey
evm.TU.Chr01.1393,grey
evm.TU.Chr06.624,blue
evm.TU.Chr06.2091,yellow
evm.TU.Chr06.1133,red
evm.TU.Chr08.3165,black
evm.TU.Chr06.957,blue
evm.TU.Chr06.1534,blue
evm.TU.Chr06.1067,grey
evm.TU.Chr09.1943,yellow
evm.TU.Chr02.1346,grey
evm.TU.Chr02.845,brown
evm.TU.ctg278.8,blue
evm.TU.ctg277.137,grey
evm.TU.Chr10.65,turquoise
evm.TU.Chr03.1078,grey
evm.TU.Chr08.1648,grey
evm.TU.Chr07.1423,red
evm.TU.ctg3.286,blue
evm.TU.Chr10.1416,yellow
evm.TU.Chr02.799,green
evm.TU.Chr10.114,grey
evm.TU.Chr08.432,turquoise
evm.TU.Chr08.2869,yellow
evm.TU.Chr10.469,yellow
evm.TU.Chr05.1458,blue
evm.TU.Chr01.1920,turquoise
evm.TU.Chr06.699,turquoise
evm.TU.Chr01.1229,green
evm.TU.Chr06.1533,grey
evm.TU.Chr05.940,turquoise
evm.TU.Chr01.26,grey
evm.TU.Chr01.764,grey
evm.TU.Chr01.1596,blue
evm.TU.Chr01.698,brown
evm.TU.Chr03.67,red
evm.TU.Chr09.1345,brown
evm.TU.Chr06.1777,grey
evm.TU.Chr08.395,blue
evm.TU.Chr10.1561,turquoise
evm.TU.Chr01.342,grey
evm.TU.Chr03.1151,black
evm.TU.Chr01.1119,green
evm.TU.Chr01.995,turquoise
evm.TU.Chr02.1975,brown
evm.TU.Chr05.1077,grey
evm.TU.Chr08.666,blue
evm.TU.Chr03.2785,turquoise
evm.TU.Chr04.399,red
evm.TU.Chr09.777,blue
evm.TU.Chr07.2122,grey
evm.TU.Chr03.1762,turquoise
evm.TU.Chr06.1194,grey
evm.TU.Chr03.2209,grey
evm.TU.Chr06.2787,brown
evm.TU.Chr04.1574,yellow
evm.TU.Chr03.69,yellow
evm.TU.Chr01.436,turquoise
evm.TU.Chr08.1220,green
evm.TU.Chr01.438,turquoise
evm.TU.Chr10.125,grey
evm.TU.Chr09.1192,turquoise
evm.TU.Chr05.2221,blue
evm.TU.Chr04.308,grey
evm.TU.Chr03.3002,green
evm.TU.Chr06.2968,black
evm.TU.Chr03.618,brown
evm.TU.ctg2.201,brown
evm.TU.Chr01.559,green
evm.TU.Chr07.2132,grey
evm.TU.Chr10.1317,grey
evm.TU.Chr10.862,green
evm.TU.ctg1.330,blue
evm.TU.Chr03.2379,black
evm.TU.Chr06.2738,brown
evm.TU.Chr10.468,green
evm.TU.Chr07.1750,blue
evm.TU.Chr01.2933,green
evm.TU.Chr01.2465,turquoise
evm.TU.Chr04.1395,turquoise
evm.TU.Chr04.1071,brown
evm.TU.ctg277.29,blue
evm.TU.Chr02.860,black
evm.TU.Chr04.2084,turquoise
evm.TU.Chr06.1402,turquoise
evm.TU.Chr05.257,red
evm.TU.Chr06.2770,turquoise
evm.TU.Chr03.965,blue
evm.TU.Chr09.452,grey
evm.TU.Chr02.178,blue
evm.TU.Chr07.714,grey
evm.TU.Chr05.1240,turquoise
evm.TU.Chr03.55,blue
evm.TU.Chr10.59,red
evm.TU.Chr01.874,blue
evm.TU.Chr03.2771,red
evm.TU.Chr02.1649,yellow
evm.TU.Chr04.157,yellow
evm.TU.Chr10.1473,blue
evm.TU.Chr05.1694,blue
evm.TU.Chr02.2394,yellow
evm.TU.Chr02.1162,turquoise
evm.TU.Chr07.2450,grey
evm.TU.Chr08.290,black
evm.TU.Chr03.732,grey
evm.TU.Chr02.777,brown
evm.TU.Chr04.1297,turquoise
evm.TU.Chr07.1350,blue
evm.TU.Chr03.432,grey
evm.TU.Chr09.1078,brown
evm.TU.ctg284.31,green
evm.TU.Chr05.830,brown
evm.TU.Chr10.860,green
evm.TU.Chr08.325,red
evm.TU.Chr05.242,turquoise
evm.TU.Chr02.2270,yellow
evm.TU.Chr05.799,turquoise
evm.TU.Chr07.1431,black
evm.TU.Chr07.2114,grey
evm.TU.Chr03.3214,grey
evm.TU.Chr06.2675,grey
evm.TU.Chr03.640,grey
evm.TU.Chr03.1914,black
evm.TU.Chr05.1231,yellow
evm.TU.Chr04.1067,yellow
evm.TU.Chr02.1039,grey
evm.TU.Chr05.565,grey
evm.TU.Chr03.563,grey
evm.TU.Chr07.2602,turquoise
evm.TU.Chr09.260,red
evm.TU.Chr08.3143,red
evm.TU.Chr01.1595,blue
evm.TU.Chr01.132,yellow
evm.TU.Chr10.531,yellow
evm.TU.Chr01.459,green
evm.TU.Chr07.2392,turquoise
evm.TU.Chr08.2478,blue
evm.TU.ctg3.215,grey
evm.TU.ctg2.145,brown
evm.TU.Chr05.3355,brown
evm.TU.Chr06.2146,blue
evm.TU.Chr09.1589,blue
evm.TU.Chr07.927,green
evm.TU.ctg281.162,grey
evm.TU.Chr03.3243,green
evm.TU.Chr09.112,turquoise
evm.TU.Chr09.1405,turquoise
evm.TU.Chr02.1867,grey
evm.TU.Chr01.2027,green
evm.TU.Chr08.1306,blue
evm.TU.Chr04.452,turquoise
evm.TU.Chr04.2293,brown
evm.TU.Chr01.2826,grey
evm.TU.Chr06.430_evm.TU.Chr06.428,black
evm.TU.Chr09.1586,green
evm.TU.Chr06.2046,brown
evm.TU.Chr01.1128,grey
evm.TU.Chr04.2394,grey
evm.TU.Chr10.829,turquoise
evm.TU.Chr10.1201,turquoise
evm.TU.Chr08.3120,yellow
evm.TU.Chr05.2025,red
evm.TU.Chr01.3219,red
evm.TU.Chr09.717,grey
evm.TU.Chr10.1108,grey
evm.TU.Chr01.2132,turquoise
evm.TU.Chr01.636,blue
evm.TU.Chr01.3152,turquoise
evm.TU.Chr03.3191,yellow
evm.TU.Chr06.946,green
evm.TU.Chr06.2295,grey
evm.TU.Chr04.2940,blue
evm.TU.Chr03.445,grey
evm.TU.Chr10.66,turquoise
evm.TU.Chr03.2072,blue
evm.TU.Chr03.692,grey
evm.TU.Chr09.1074,grey
evm.TU.Chr01.281,grey
evm.TU.Chr03.459,blue
evm.TU.Chr06.2993,grey
evm.TU.Chr07.609,blue
evm.TU.Chr05.328,grey
evm.TU.Chr01.2501,green
evm.TU.Chr09.872,grey
evm.TU.Chr03.3426,brown
evm.TU.Chr09.2245,yellow
evm.TU.Chr05.2282,turquoise
evm.TU.Chr01.743,yellow
evm.TU.ctg1.390,grey
evm.TU.Chr02.1605,brown
evm.TU.Chr02.1739,turquoise
evm.TU.Chr01.1212,turquoise
evm.TU.Chr06.2201,blue
evm.TU.Chr06.1200,green
evm.TU.Chr01.409,turquoise
evm.TU.Chr01.967,turquoise
evm.TU.Chr04.395,brown
evm.TU.Chr01.1780,red
evm.TU.Chr09.1160,green
evm.TU.Chr04.148,black
evm.TU.Chr04.1253,grey
evm.TU.Chr04.885,green
evm.TU.Chr08.1686,turquoise
evm.TU.ctg3.98,blue
evm.TU.Chr01.130,green
evm.TU.ctg1.151,blue
evm.TU.Chr07.1175,brown
evm.TU.Chr09.1824,turquoise
evm.TU.Chr08.275,blue
evm.TU.Chr02.2402,brown
evm.TU.Chr09.1826,green
evm.TU.Chr09.1403,red
evm.TU.Chr01.1971,green
evm.TU.Chr05.3234,turquoise
evm.TU.Chr09.152,turquoise
evm.TU.Chr01.112,grey
evm.TU.Chr07.2585,grey
evm.TU.Chr10.246,green
evm.TU.Chr03.278,blue
evm.TU.Chr05.241,turquoise
evm.TU.Chr04.2733,turquoise
evm.TU.Chr07.156,red
evm.TU.Chr04.640,turquoise
evm.TU.Chr09.2288,green
evm.TU.Chr09.730,blue
evm.TU.Chr01.2095,green
evm.TU.Chr01.2403,grey
evm.TU.Chr01.135,grey
evm.TU.ctg1.478,black
evm.TU.Chr04.715,brown
evm.TU.Chr09.154,turquoise
evm.TU.ctg1.340,blue
evm.TU.Chr02.1688,grey
evm.TU.Chr03.224,blue
evm.TU.Chr10.776,green
evm.TU.Chr03.219,turquoise
evm.TU.Chr06.2960,black
evm.TU.Chr06.1196,turquoise
evm.TU.Chr04.389,green
evm.TU.Chr04.1360,grey
evm.TU.Chr04.1681,green
evm.TU.Chr06.2090,turquoise
evm.TU.Chr10.177,green
evm.TU.Chr06.211,brown
evm.TU.Chr04.1934,green
evm.TU.Chr10.906,grey
evm.TU.Chr01.1486,brown
evm.TU.Chr09.1225,blue
evm.TU.Chr03.2375,black
evm.TU.Chr03.2215,blue
evm.TU.Chr03.877,turquoise
evm.TU.Chr06.3068_evm.TU.Chr06.3069,blue
evm.TU.Chr05.1376,turquoise
evm.TU.Chr03.1111,grey
evm.TU.Chr01.346,turquoise
evm.TU.Chr08.2455,turquoise
evm.TU.Chr05.2388,red
evm.TU.ctg3.79,grey
evm.TU.Chr06.2408,grey
evm.TU.Chr04.1363,turquoise
evm.TU.Chr09.1861,turquoise
evm.TU.Chr08.2401,grey
evm.TU.Chr04.499,turquoise
evm.TU.Chr03.3095,grey
evm.TU.Chr03.1183,blue
evm.TU.Chr06.7,blue
evm.TU.ctg1.165,turquoise
evm.TU.Chr05.1860,blue
evm.TU.Chr02.1727,brown
evm.TU.Chr05.939,blue
evm.TU.Chr05.3151,turquoise
evm.TU.Chr03.3567,brown
evm.TU.Chr01.2292,brown
evm.TU.ctg279.86,brown
evm.TU.Chr09.874,turquoise
evm.TU.ctg2.326,green
evm.TU.Chr01.1817,red
evm.TU.ctg277.15,brown
evm.TU.Chr10.1738,yellow
evm.TU.Chr01.1245,blue
evm.TU.Chr01.1088,turquoise
evm.TU.Chr03.3564,red
evm.TU.ctg281.65,yellow
evm.TU.Chr05.1137,yellow
evm.TU.Chr09.146,grey
evm.TU.Chr08.319,turquoise
evm.TU.Chr03.358,turquoise
evm.TU.Chr02.429,blue
evm.TU.Chr03.2109,red
evm.TU.Chr07.2125,grey
evm.TU.Chr09.2267,grey
evm.TU.Chr05.563,turquoise
evm.TU.Chr01.324,brown
evm.TU.Chr09.1860,turquoise
evm.TU.Chr09.140,green
evm.TU.Chr02.927,turquoise
evm.TU.Chr08.1269,blue
evm.TU.Chr08.469,turquoise
evm.TU.Chr07.248,blue
evm.TU.Chr09.1752,turquoise
evm.TU.ctg2.14,green
evm.TU.Chr06.3259,blue
evm.TU.Chr04.1788,black
evm.TU.Chr02.400,grey
evm.TU.Chr04.307,turquoise
evm.TU.Chr07.2217,yellow
evm.TU.Chr06.2207,grey
evm.TU.ctg2.351,green
evm.TU.Chr08.1678,red
evm.TU.Chr07.2133,brown
evm.TU.ctg3.243,turquoise
evm.TU.Chr04.898,blue
evm.TU.Chr06.986,blue
evm.TU.ctg5.11_evm.TU.ctg5.12,grey
evm.TU.Chr01.165,turquoise
evm.TU.Chr02.1979,grey
evm.TU.Chr05.3284,turquoise
evm.TU.ctg2.333,brown
evm.TU.ctg282.4,grey
evm.TU.Chr02.2474,grey
evm.TU.Chr02.1758,yellow
evm.TU.Chr06.401,turquoise
evm.TU.Chr02.851,brown
evm.TU.ctg3.205,grey
evm.TU.Chr05.1485,red
evm.TU.Chr10.1007,green
evm.TU.Chr05.59,yellow
evm.TU.Chr05.1003,brown
evm.TU.Chr01.2838,grey
evm.TU.Chr01.1917,brown
evm.TU.Chr01.2353,brown
evm.TU.Chr02.749,black
evm.TU.Chr07.1471,grey
evm.TU.Chr04.2234,blue
evm.TU.Chr04.2051_evm.TU.Chr04.2052,brown
evm.TU.Chr10.1649,blue
evm.TU.Chr02.1319,yellow
evm.TU.Chr02.395,grey
evm.TU.Chr04.1362,blue
evm.TU.Chr08.959,green
evm.TU.Chr02.2383,turquoise
evm.TU.Chr01.408,grey
evm.TU.Chr08.993,black
evm.TU.Chr03.2494,turquoise
evm.TU.Chr07.2361,grey
evm.TU.Chr10.262,red
evm.TU.Chr05.1369,blue
evm.TU.Chr01.3179,grey
evm.TU.Chr08.1212,blue
evm.TU.Chr04.2227_evm.TU.Chr04.2228,yellow
evm.TU.Chr07.1574,grey
evm.TU.Chr01.783,grey
evm.TU.Chr03.2710,blue
evm.TU.Chr07.1328,black
evm.TU.Chr05.2571,turquoise
evm.TU.ctg1.198,turquoise
evm.TU.Chr04.2853,blue
evm.TU.Chr01.294,blue
evm.TU.Chr03.1920,grey
evm.TU.Chr08.545,blue
evm.TU.Chr04.2851,blue
evm.TU.Chr07.93,red
evm.TU.Chr08.2608,grey
evm.TU.Chr10.1308,grey
evm.TU.Chr07.1190,yellow
evm.TU.Chr04.1075,grey
evm.TU.Chr05.2435,brown
evm.TU.Chr01.1189,turquoise
evm.TU.Chr06.2085,blue
evm.TU.Chr02.1742,grey
evm.TU.Chr03.3097,red
evm.TU.Chr02.2371,grey
evm.TU.Chr08.1099,turquoise
evm.TU.Chr03.818,blue
evm.TU.Chr01.996,brown
evm.TU.Chr09.1558,grey
evm.TU.Chr05.2877,grey
evm.TU.Chr02.2183,grey
evm.TU.ctg279.23,blue
evm.TU.Chr10.1156,turquoise
evm.TU.ctg277.145,black
evm.TU.Chr08.1588,red
evm.TU.Chr04.3117,turquoise
evm.TU.ctg2.193,red
evm.TU.Chr04.2471,turquoise
evm.TU.Chr07.1748,yellow
evm.TU.Chr07.1794,blue
evm.TU.ctg2.79,blue
evm.TU.Chr01.1973,turquoise
evm.TU.Chr01.439,turquoise
evm.TU.Chr01.2569,grey
evm.TU.Chr10.19_evm.TU.Chr10.20,yellow
evm.TU.ctg279.104,grey
evm.TU.Chr09.96,grey
evm.TU.Chr01.3184,grey
evm.TU.Chr03.690,grey
evm.TU.Chr01.623,green
evm.TU.ctg281.40,red
evm.TU.Chr01.1802,grey
evm.TU.Chr01.131,green
evm.TU.Chr08.1445,black
evm.TU.Chr04.2072,blue
evm.TU.Chr09.2074,grey
evm.TU.Chr01.1668,green
evm.TU.Chr06.2636,brown
evm.TU.Chr04.1749,grey
evm.TU.Chr08.1382,blue
evm.TU.Chr01.3090,grey
evm.TU.Chr01.2294,black
evm.TU.Chr09.418,blue
evm.TU.Chr10.351,grey
evm.TU.Chr03.440,brown
evm.TU.Chr05.1367,blue
evm.TU.Chr08.2596,grey
evm.TU.Chr05.3256,turquoise
evm.TU.Chr09.1496,grey
evm.TU.Chr01.186,yellow
evm.TU.Chr03.753,grey
evm.TU.Chr07.121,grey
evm.TU.Chr03.1442,black
evm.TU.Chr03.2793,blue
